"id","timestamp","open_price","high_price","low_price","close_price"
1387,2021-06-03 03:00:00.000,37568.68,39476,37170,39246.79
1388,2021-06-04 03:00:00.000,39246.78,39289.07,35555.15,36829
1389,2021-06-05 03:00:00.000,36829.15,37925,34800,35513.2
1390,2021-06-06 03:00:00.000,35516.07,36480,35222,35796.31
1391,2021-06-07 03:00:00.000,35796.31,36900,33300,33552.79
1392,2021-06-08 03:00:00.000,33556.96,34068.01,31000,33380.81
1393,2021-06-09 03:00:00.000,33380.8,37534.79,32396.82,37388.05
1394,2021-06-10 03:00:00.000,37388.05,38491,35782,36675.72
1395,2021-06-11 03:00:00.000,36677.83,37680.4,35936.77,37331.98
1396,2021-06-12 03:00:00.000,37331.98,37463.63,34600.36,35546.11
1397,2021-06-13 03:00:00.000,35546.12,39380,34757,39020.57
1398,2021-06-14 03:00:00.000,39020.56,41064.05,38730,40516.29
1399,2021-06-15 03:00:00.000,40516.28,41330,39506.4,40144.04
1400,2021-06-16 03:00:00.000,40143.8,40527.14,38116.01,38349.01
1401,2021-06-17 03:00:00.000,38349,39559.88,37365,38092.97
1402,2021-06-18 03:00:00.000,38092.97,38202.84,35129.29,35819.84
1403,2021-06-19 03:00:00.000,35820.48,36457,34803.52,35483.72
1404,2021-06-20 03:00:00.000,35483.72,36137.72,33336,35600.16
1405,2021-06-21 03:00:00.000,35600.17,35750,31251.23,31608.93
1406,2021-06-22 03:00:00.000,31614.12,33298.78,28805,32509.56
1407,2021-06-23 03:00:00.000,32509.56,34881,31683,33678.07
1408,2021-06-24 03:00:00.000,33675.07,35298,32286.57,34663.09
1409,2021-06-25 03:00:00.000,34663.08,35500,31275,31584.45
1410,2021-06-26 03:00:00.000,31576.09,32730,30151,32283.65
1411,2021-06-27 03:00:00.000,32283.65,34749,31973.45,34700.34
1412,2021-06-28 03:00:00.000,34702.49,35297.71,33862.72,34494.89
